Date and Time:                Thu Mar 13 16:07:41.171 2025
Software Version:             4.32.30137.0
Unstabilized Temperature (C): 21,997
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         1
Accumulate Cycle Time (secs): 1
Frequency (Hz):               1
Number of Accumulations:      10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
641,21722	-36
641,73792	-48
642,25854	27
642,77924	87
643,29999	-99
643,82074	-81
644,34149	2
644,8623	1
645,38312	51
645,90393	-87
646,4248	5
646,94568	9
647,46661	34
647,98755	-82
648,50848	89
649,02948	-55
649,55048	-54
650,07153	-86
650,59259	-27
651,11365	-6
651,63477	-19
652,15594	109
652,67706	-21
653,19824	51
653,71948	-126
654,24066	85
654,76196	116
655,2832	139
655,8045	133
656,32587	166
656,84723	126
657,36859	-26
657,88995	15
658,41138	73
658,93286	112
659,45435	131
659,97583	145
660,49731	272
661,01886	182
661,54047	206
662,06207	344
662,58368	165
663,10529	442
663,62695	350
664,14868	367
664,67041	371
665,19214	525
665,71393	681
666,23572	525
666,75751	546
667,27936	539
667,80121	627
668,32312	731
668,84503	663
669,36694	889
669,88892	685
670,41089	914
670,93286	820
671,4549	1007
671,97699	1185
672,49908	1235
673,02118	1522
673,54327	1376
674,06543	1584
674,58765	1723
675,10986	1809
675,63208	2146
676,1543	2305
676,67657	2595
677,19891	2808
677,72125	3199
678,24359	3524
678,76593	3889
679,28833	4356
679,81079	4594
680,33319	5293
680,85571	5778
681,37817	6143
681,9007	6272
682,42322	6348
682,9458	6449
683,46838	6717
683,99103	7102
684,51367	7431
685,03632	8080
685,55902	8549
686,08173	8826
686,60449	9151
687,12726	9084
687,65002	9184
688,17285	9244
688,69568	9317
689,21857	9645
689,74146	9909
690,26434	10613
690,78729	10806
691,31024	11329
691,83319	11679
692,3562	12181
692,87927	12771
693,40228	13205
693,92542	13483
694,44849	13881
694,97162	14199
695,49475	14944
696,01794	15626
696,54114	16214
697,06439	16646
697,58765	17080
698,1109	17676
698,63422	18171
699,15753	19061
699,68091	19627
700,20428	20047
