Date and Time:                Thu Mar 13 16:28:02.347 2025
Software Version:             4.32.30137.0
Unstabilized Temperature (C): 22,646
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         0,1
Accumulate Cycle Time (secs): 0,1
Frequency (Hz):               10
Number of Accumulations:      10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
537,06195	23
537,5777	-19
538,09351	15
538,60931	55
539,12512	30
539,64093	29
540,1568	57
540,67273	19
541,18866	9
541,70459	47
542,22058	45
542,73657	15
543,25256	16
543,76862	25
544,28467	32
544,80078	22
545,31689	60
545,83301	41
546,34918	38
546,86536	17
547,38159	45
547,89783	9
548,41412	61
548,93036	17
549,44672	-22
549,96301	-26
550,47937	45
550,99579	61
551,51215	23
552,02863	10
552,54504	-13
553,06152	53
553,57806	26
554,0946	38
554,61115	43
555,12769	14
555,64429	50
556,16095	31
556,67761	107
557,19427	33
557,711	41
558,22772	48
558,74445	-6
559,26123	0
559,77802	37
560,29486	83
560,81171	57
561,32855	23
561,84546	35
562,36237	19
562,87933	70
563,3963	49
563,91327	16
564,4303	-2
564,94733	21
565,46442	10
565,98151	15
566,4986	76
567,01575	41
567,5329	8
568,05011	61
568,56732	15
569,08453	15
569,60181	-2
570,11908	43
570,63641	-2
571,15369	5
571,67108	-49
572,18848	45
572,70587	25
573,22327	63
573,74072	72
574,25824	-8
574,77576	56
575,29327	39
575,81079	-9
576,32837	10
576,84601	33
577,36359	9
577,88129	46
578,39893	35
578,91663	69
579,43439	0
579,95209	89
580,46985	27
580,98767	26
581,50549	16
582,02332	-21
582,5412	74
583,05908	-3
583,57703	37
584,09497	24
584,61292	27
585,13092	34
585,64893	51
586,16699	-13
586,68506	20
587,20313	-23
587,72125	41
588,23938	-232
588,75751	17
589,2757	27
589,79395	46
590,31219	2
590,83044	43
591,34869	-35
591,867	46
592,38531	64
592,90369	5
593,42206	73
593,94049	43
594,45892	12
594,97736	44
595,49585	24
596,01434	20
596,5329	10
597,05145	64
597,57001	17
598,08862	-18
598,60724	-24
599,12585	0
599,64453	39
600,16327	-2
600,68195	36
601,20068	15
601,71948	10
602,23828	35
602,75708	16
603,27594	20
603,7948	36
604,31372	-27
604,83258	1
605,35156	14
605,87054	11
606,38953	24
606,90851	48
607,42755	-3
607,94659	33
608,4657	-9
608,9848	-11
609,50397	11
610,02313	18
610,5423	14
611,06152	46
611,58075	49
612,09998	3
612,61926	21
613,13855	31
613,6579	36
614,17725	34
614,69666	34
615,21606	-12
615,73547	73
616,25494	27
616,77441	29
617,29388	-5
617,81342	18
618,33295	29
618,85254	15
619,37213	15
619,89178	-4
620,41144	55
620,93109	35
621,45081	29
621,97052	13
622,49023	23
623,01001	50
623,52979	37
624,04962	-4
624,56946	43
625,08936	43
625,60925	44
626,12915	41
626,64905	21
627,16907	-10
627,68903	23
628,20905	43
628,72906	31
629,24915	75
629,76923	13
630,28931	20
630,80945	35
631,32965	19
631,84979	4
632,37	38
632,89026	36
633,41052	11
633,93079	15
634,45111	11
634,97144	53
635,49176	19
636,01215	39
636,53253	35
637,05298	2
637,57343	20
638,09387	6
638,61438	3
639,13489	41
639,65546	51
640,17603	67
640,69666	41
641,21722	-13
641,73792	-19
642,25854	-14
642,77924	6
643,29999	10
643,82074	88
644,34149	74
644,8623	-19
645,38312	55
645,90393	5
646,4248	74
646,94568	45
647,46661	-49
647,98755	5
648,50848	59
649,02948	36
649,55048	71
650,07153	-4
650,59259	22
651,11365	59
651,63477	-11
652,15594	29
652,67706	-3
653,19824	51
653,71948	5
654,24066	12
654,76196	56
655,2832	43
655,8045	10
656,32587	29
656,84723	37
657,36859	22
657,88995	37
658,41138	66
658,93286	-13
659,45435	25
659,97583	49
660,49731	6
661,01886	51
661,54047	69
662,06207	40
662,58368	56
663,10529	43
663,62695	59
664,14868	26
664,67041	27
665,19214	104
665,71393	55
666,23572	81
666,75751	6
667,27936	34
667,80121	91
668,32312	76
668,84503	65
669,36694	84
669,88892	101
670,41089	59
670,93286	102
671,4549	105
671,97699	152
672,49908	112
673,02118	170
673,54327	156
674,06543	175
674,58765	208
675,10986	165
675,63208	215
676,1543	250
676,67657	293
677,19891	297
677,72125	326
678,24359	312
678,76593	323
679,28833	344
679,81079	380
680,33319	367
680,85571	390
681,37817	398
681,9007	417
682,42322	437
682,9458	436
683,46838	446
683,99103	483
684,51367	529
685,03632	491
685,55902	473
686,08173	512
686,60449	563
687,12726	700
687,65002	636
688,17285	634
688,69568	648
689,21857	653
689,74146	649
690,26434	700
690,78729	743
691,31024	784
691,83319	844
692,3562	870
692,87927	872
693,40228	936
693,92542	984
694,44849	1022
694,97162	935
695,49475	1040
696,01794	1101
696,54114	1157
697,06439	1148
697,58765	1189
698,1109	1309
698,63422	1391
699,15753	1450
699,68091	1415
700,20428	1550
700,72766	1585
701,2511	1581
701,77454	1666
702,29797	1733
702,82147	1768
703,34497	1768
703,86853	1851
704,39209	1976
704,91571	1874
705,43933	2044
705,96295	2099
706,48663	2146
707,01031	2222
707,53406	2233
708,05774	2344
708,58154	2256
709,10529	2352
709,62915	2252
710,15295	2315
710,67682	2209
711,20068	2177
711,72461	2079
712,24854	1988
712,77252	1899
713,29651	1798
713,8205	1776
714,34454	1659
714,86859	1528
715,39264	1491
715,91675	1365
716,44086	1306
716,96503	1238
717,4892	1136
718,01343	1075
718,53766	956
719,06189	938
719,58618	882
720,11047	820
720,63477	782
721,15912	658
721,68347	578
722,20789	577
722,7323	546
723,25677	514
723,78125	451
724,30573	396
724,83026	357
725,3548	403
725,87933	324
726,40393	293
726,92853	293
727,45319	222
727,97784	280
728,50256	197
729,02722	224
729,552	164
730,07672	201
730,6015	180
731,12634	164
731,65118	121
732,17603	112
732,70093	141
