Date and Time:                Mon Mar 24 11:32:21.133 2025
Software Version:             4.32.30137.0
Unstabilized Temperature (C): 22,646
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         1
Accumulate Cycle Time (secs): 1
Frequency (Hz):               1
Number of Accumulations:      10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
661,01892	-6
661,54047	87
662,06207	67
662,58368	18
663,10535	7
663,62701	153
664,14868	69
664,67041	31
665,19214	61
665,71393	-51
666,23572	62
666,75751	-40
667,27936	23
667,80121	63
668,32312	2
668,84503	21
669,36694	8
669,88892	126
670,41089	179
670,93292	67
671,45496	168
671,97699	232
672,49908	42
673,02118	43
673,54333	95
674,06549	140
674,58765	164
675,10986	156
675,63208	144
676,15436	27
676,67664	67
677,19891	213
677,72125	138
678,24359	170
678,76593	152
679,28833	156
679,81079	189
680,33325	229
680,85571	174
681,37817	129
681,9007	272
682,42328	64
682,9458	160
683,46844	196
683,99103	25
684,51367	154
685,03632	153
685,55902	164
686,08173	168
686,60449	150
687,12726	72
687,65002	214
688,17285	195
688,69568	357
689,21857	287
689,74146	177
690,26434	225
690,78729	346
691,31024	304
691,83325	319
692,35626	288
692,87927	250
693,40234	383
693,92542	306
694,44849	433
694,97162	446
695,49481	420
696,01794	341
696,54114	457
697,06439	608
697,58765	766
698,1109	695
698,63422	1330
699,15753	4457
699,68091	17260
700,20428	36682
700,72766	56539
701,2511	74475
701,77454	88990
702,29797	100858
702,82147	112747
703,34503	124797
703,86853	137334
704,39215	149105
704,91571	160387
