Date and Time:                Mon Mar 24 12:59:07.152 2025
Software Version:             4.32.30137.0
Unstabilized Temperature (C): 22,646
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         1
Accumulate Cycle Time (secs): 1
Frequency (Hz):               1
Number of Accumulations:      10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
601,71948	-105
602,23828	115
602,75708	-2
603,27594	119
603,7948	-21
604,31372	-99
604,83264	-56
605,35156	87
605,87054	95
606,38953	-15
606,90851	2
607,42755	52
607,94666	38
608,4657	38
608,9848	148
609,50397	-18
610,02313	161
610,5423	94
611,06152	43
611,58075	-23
612,09998	129
612,61926	18
613,13861	-102
613,6579	69
614,17725	-2
614,69666	47
615,21606	49
615,73547	-1
616,25494	72
616,77441	88
617,29388	0
617,81342	-30
618,33301	44
618,85254	55
619,37213	-114
619,89178	49
620,41144	169
620,93109	-40
621,45081	-35
621,97052	-65
622,49023	56
623,01001	-90
623,52985	4
624,04962	189
624,56946	-42
625,08936	78
625,60925	88
626,12915	15
626,64911	157
627,16907	30
627,68903	138
628,20905	182
628,72906	-4
629,24915	76
629,76923	-269
630,28937	30
630,80945	105
631,32965	-1
631,84979	46
632,37	-130
632,89026	158
633,41052	179
633,93079	115
634,45111	19
634,97144	113
635,49176	-6
636,01215	83
636,53253	14
637,05298	-41
637,57343	-15
638,09387	243
638,61438	73
639,13495	62
639,65546	-38
640,17603	147
640,69666	-24
641,21729	143
641,73792	-10
642,25861	40
642,7793	102
643,29999	57
643,82074	49
644,34149	220
644,8623	-18
645,38312	103
645,90393	76
646,4248	-21
646,94568	45
647,46661	106
647,98755	83
648,50848	85
649,02948	0
649,55048	164
650,07153	91
650,59259	25
651,11371	38
651,63477	-54
652,15594	129
652,67706	-1
653,19824	-17
653,71948	-3
654,24072	-59
654,76196	54
655,2832	-1
655,8045	-72
656,32587	40
656,84723	15
657,36859	31
657,89001	36
658,41144	104
658,93286	132
659,45435	116
659,97583	39
660,49738	57
661,01892	16
661,54047	34
662,06207	144
662,58368	142
663,10535	84
663,62701	81
664,14868	-56
664,67041	107
665,19214	84
665,71393	111
666,23572	56
666,75751	167
667,27936	-34
667,80121	121
668,32312	47
668,84503	19
669,36694	116
669,88892	209
670,41089	155
670,93292	115
671,45496	194
671,97699	180
672,49908	157
673,02118	116
673,54333	50
674,06549	39
674,58765	74
675,10986	143
675,63208	139
676,15436	98
676,67664	57
677,19891	150
677,72125	-5
678,24359	172
678,76593	119
679,28833	283
679,81079	119
680,33325	252
680,85571	65
681,37817	199
681,9007	184
682,42328	249
682,9458	123
683,46844	150
683,99103	216
684,51367	181
685,03632	136
685,55902	111
686,08173	49
686,60449	225
687,12726	121
687,65002	170
688,17285	200
688,69568	104
689,21857	207
689,74146	125
690,26434	287
690,78729	332
691,31024	219
691,83325	234
692,35626	302
692,87927	236
693,40234	266
693,92542	453
694,44849	449
694,97162	456
695,49481	559
696,01794	482
696,54114	308
697,06439	509
697,58765	494
698,1109	587
698,63422	872
699,15753	2109
699,68091	7307
700,20428	15819
700,72766	24538
701,2511	32531
701,77454	39317
702,29797	45266
702,82147	50333
703,34503	54744
703,86853	59274
704,39215	63430
704,91571	67308
705,43933	70259
705,96295	72395
706,48663	73403
707,01031	73556
707,53406	73888
708,0578	74122
708,58154	74600
709,10535	74202
709,62915	71540
710,15295	63452
710,67682	54187
711,20074	45027
711,72461	36696
712,24854	29485
712,77252	23155
713,29651	17933
713,8205	13648
714,34454	9454
714,86859	5875
715,39264	3481
715,91675	2094
716,44092	1386
716,96503	1159
717,4892	1129
718,01343	891
718,53766	771
719,06189	897
719,58618	900
720,11047	776
720,63477	688
721,15912	847
721,68353	885
722,20789	1052
722,7323	960
723,25677	562
723,78125	517
724,30573	318
724,83026	366
725,3548	220
725,87933	243
726,40393	314
726,92859	104
727,45319	225
727,97784	239
728,50256	248
729,02728	364
729,552	357
730,07678	136
730,60156	229
731,12634	222
731,65118	210
732,17603	123
732,70093	323
733,22583	183
733,75079	224
734,2757	121
734,80072	250
735,32568	138
735,85071	201
736,37579	199
736,90088	201
737,42596	126
737,95111	306
738,47626	82
739,0014	270
739,52661	121
740,05182	195
740,57709	107
741,10236	54
741,62769	40
742,15295	142
742,67834	275
743,20367	139
743,72906	112
744,25452	37
744,77997	37
745,30542	87
745,83093	309
746,35645	157
746,88196	177
747,40753	-19
747,93311	157
748,45874	28
748,98438	40
749,51001	102
750,03571	78
750,5614	-16
751,08716	53
751,61292	73
752,13867	24
752,66449	-53
753,19037	96
753,71619	-54
754,24207	111
754,76801	42
755,29388	112
755,81989	117
756,34583	86
756,87183	147
757,39789	94
757,92395	-127
758,45001	39
758,97607	71
759,5022	21
760,02838	-39
760,55457	69
761,08075	25
761,60699	11
762,13324	71
762,65948	15
763,18579	21
763,7121	126
764,23846	108
764,76483	93
765,2912	-83
765,81763	183
766,34406	24
766,87054	82
767,39703	87
767,92352	6
768,45007	-17
768,97662	47
769,50323	43
770,02985	50
770,55646	72
771,08313	7
771,6098	140
772,13654	49
772,66327	-57
773,19	37
773,7168	51
774,24359	79
774,77045	52
775,2973	85
775,82416	129
776,35107	-30
776,87799	-23
777,40497	187
777,93195	-77
778,45892	129
778,98596	-50
779,513	43
780,0401	56
780,5672	42
781,0943	111
781,62146	108
782,14862	85
782,67578	54
783,203	-27
783,73029	114
784,25757	-14
784,78485	-69
785,31213	-2
785,83948	1
786,36688	72
786,89423	-74
787,42169	200
787,9491	1
788,47656	-7
789,00409	51
789,53156	48
790,05908	105
790,58667	-32
791,11426	17
791,64185	34
792,16949	66
792,69714	5
793,22485	176
793,75256	12
794,28027	-50
794,80804	25
795,33582	77
795,86365	140
796,39148	151
796,91931	158
797,4472	32
797,9751	35
798,50299	-9
799,03094	-59
799,55896	142
800,08691	58
800,61499	148
801,14301	145
801,67108	135
802,19916	131
802,72729	35
803,25543	14
803,78363	195
804,31183	-18
804,84003	48
805,36829	8
805,89655	-3
806,4248	55
806,95313	16
807,48151	45
808,00983	-13
808,53827	178
809,06665	82
809,59509	68
810,12354	10
810,65204	-45
811,18054	-35
811,70911	28
812,23767	41
812,76624	59
813,29486	-28
813,82349	76
814,35211	-48
814,8808	53
815,40955	-11
815,93823	223
816,46698	110
816,99579	21
817,5246	-78
818,05341	35
818,58228	0
819,11115	-43
819,64001	52
820,16895	-2
820,69794	86
821,22687	65
821,75586	-21
822,28491	57
822,81396	55
823,34302	26
823,87213	66
824,40125	8
824,93036	43
825,45953	-20
825,98877	90
826,51794	-130
827,04718	7
827,57648	56
828,10577	-41
828,63507	20
829,16443	78
829,69379	-85
830,22314	189
830,75256	43
831,28204	45
831,81146	-26
832,34094	107
832,87048	18
833,40002	20
833,92957	-20
834,45917	-35
834,98877	120
835,51837	-25
836,04803	-26
836,5777	26
837,10742	71
837,63715	-32
838,16693	-4
838,69666	77
839,2265	62
839,75629	25
840,28613	-98
840,81604	4
841,34595	7
841,87585	77
842,40582	-54
842,93579	-8
843,46576	9
843,99579	166
844,52582	164
845,05591	74
845,586	101
846,11615	-106
846,64624	30
847,17645	-108
847,7066	149
848,23682	-65
848,76709	-125
849,29736	196
849,82764	177
850,35797	61
850,88831	2
851,41864	38
851,94904	44
852,47943	-49
853,00989	13
853,54034	21
854,0708	-9
854,60132	55
855,13184	151
855,66241	94
856,19299	121
856,72357	87
857,25421	55
857,78491	-19
858,31555	66
858,84625	11
859,37701	-25
859,90771	-76
860,43854	-52
860,9693	-35
861,50012	27
862,03101	13
862,56189	40
863,09277	52
863,62366	22
864,15466	24
864,68561	-44
865,21661	-125
865,74762	-65
866,27869	139
866,80975	-47
867,34082	-48
867,87195	55
868,40308	157
868,93427	-43
869,46545	4
869,99664	112
870,52789	41
871,05914	19
871,59045	-6
872,12177	-51
872,65308	12
873,18445	34
873,71582	14
874,24725	-58
874,77869	7
875,31012	226
875,84161	-4
876,37311	68
876,90466	-16
877,43622	-4
877,96777	-36
878,49939	140
879,03101	-44
879,56268	-31
880,09436	54
880,62604	41
881,15778	79
881,68951	42
882,22131	85
882,75311	-41
883,28491	118
883,81677	20
884,34863	-7
884,88055	40
885,41248	-44
885,9444	104
886,47638	95
887,00836	-22
887,54041	-34
888,07239	95
888,60449	-64
889,1366	30
889,6687	83
890,20081	2
890,73297	-4
891,2652	31
891,79742	-102
892,32965	78
892,86188	41
893,39417	-51
893,92651	19
894,4588	-26
894,99121	-60
895,52356	-95
896,05597	-94
896,58838	14
897,12085	-83
897,65332	69
898,18585	-29
898,71838	11
899,25092	7
899,78351	-5
900,3161	-7
900,84875	12
901,38141	84
901,91406	204
902,44678	-30
902,97949	151
903,51221	32
904,04498	-8
904,57782	-156
905,1106	49
905,64349	54
906,17633	96
906,70923	17
907,24213	105
907,77509	8
908,30804	24
908,84106	116
909,37408	7
909,9071	17
910,44019	51
910,97327	87
911,50641	60
912,03949	-69
912,57269	68
913,1059	90
913,6391	58
914,1723	-3
914,70557	-93
915,23883	67
915,77216	-61
916,30548	143
916,83887	-26
917,37225	103
917,90564	96
918,43909	-30
918,97253	133
919,50598	-27
920,03949	1
920,57306	99
921,10657	-66
921,64014	23
922,17377	-24
922,7074	136
923,24103	3
923,77472	-23
924,30841	56
924,84216	119
925,37585	-32
925,90967	-78
926,44342	-71
926,97729	104
927,51111	31
928,04498	34
928,57886	4
929,11279	7
929,64673	-79
930,18073	-2
