Date and Time:                Wed Mar 26 09:14:40.847 2025
339,5986	21
340,13525	-22
340,67188	110
341,2085	-14
341,74512	-56
342,28168	-1
342,81827	65
343,3548	-18
343,89133	-103
344,42783	100
344,96432	-17
345,50079	42
346,03723	-184
346,57367	72
347,11008	101
347,64648	123
348,18286	-5
348,71921	-4
349,25555	30
349,79187	55
350,32816	-21
350,86444	26
351,4007	-43
351,93695	-35
352,47318	-47
353,00937	12
353,54556	-34
354,08173	63
354,61786	-1
355,15399	78
355,69009	2
356,2262	0
356,76227	-29
357,29831	39
357,83435	21
358,37036	-130
358,90637	-54
359,44235	-110
359,9783	-192
360,51425	27
361,05017	103
361,58606	-46
362,12195	56
362,65781	80
363,19366	71
363,72949	-76
364,26529	-76
364,80109	-32
365,33685	-110
365,87259	7
366,40833	-9
366,94403	-41
367,47974	38
368,01541	56
368,55106	6
369,0867	29
369,62231	-39
370,15793	-50
370,69351	-75
371,22906	-4
371,76462	48
372,30014	-66
372,83563	12
373,37112	-57
373,90659	-182
374,44205	-6
374,97745	70
375,51288	-29
376,04828	5
376,58365	10
377,11899	-46
377,65433	-11
378,18964	-116
378,72495	158
379,26022	-59
379,79547	-17
380,33072	-59
380,86594	67
381,40112	-59
381,93631	5
382,4715	189
383,00662	-154
383,54175	-5
384,07687	160
384,61194	-81
385,14703	103
385,68207	-32
386,2171	93
386,75211	-132
387,28711	-28
387,82208	82
388,35706	59
388,89197	16
389,42691	96
389,96179	-56
390,49667	-97
391,03156	25
391,56638	75
392,1012	-44
392,63602	149
393,17081	-40
393,70557	40
394,24033	-40
394,77505	-79
395,30975	-72
395,84445	128
396,37912	-26
396,91379	131
397,44843	92
397,98303	-147
398,51764	-96
399,05222	-27
399,58676	39
400,12131	-92
400,65582	71
401,19034	-38
401,72482	104
402,25928	52
402,79373	-17
403,32816	-178
403,86255	-112
404,39694	31
404,9313	35
405,46567	-72
406	-71
406,5343	-4
407,0686	76
407,60287	4
408,13715	-82
408,67139	-108
409,2056	-138
409,73981	31
410,27399	-99
410,80814	89
411,34229	-9
411,8764	15
412,41052	34
412,94461	98
413,47867	95
414,01273	-103
414,54675	146
415,08075	-70
415,61475	79
416,14874	0
416,68268	-52
417,21661	-86
417,75055	-74
418,28442	-52
418,8183	-73
419,35217	-18
419,88602	-161
420,41983	-52
420,95364	-32
421,48743	-70
422,02118	24
422,55493	-61
423,08865	-126
423,62238	-11
424,15607	2
424,68973	-94
425,22339	-68
425,75702	95
426,29062	85
426,82422	86
427,35779	-68
427,89136	37
428,4249	-4
428,9584	-176
429,49191	-68
430,02539	26
430,55887	-188
431,09232	-68
431,62573	9
432,15915	-40
432,69254	65
433,22589	67
433,75925	-56
434,29257	47
434,8259	32
435,35919	-32
435,89246	-38
436,42572	221
436,95895	-10
437,49216	-15
438,02536	-18
438,55853	-137
439,09171	77
439,62485	-44
440,15796	-97
440,69107	-132
441,22415	25
441,7572	-36
442,29025	-22
442,8233	120
443,35629	67
443,88928	-11
444,42227	-24
444,9552	-21
445,48816	143
446,02106	-16
446,55396	88
447,08682	-62
447,61969	-54
448,15253	-7
448,68536	-61
449,21814	115
449,75095	-6
450,28369	-31
450,81644	-97
451,34918	-61
451,88187	-8
452,41455	-150
452,94724	-152
453,47989	-40
454,01251	16
454,54514	25
455,07773	-60
455,61029	-43
456,14285	-2
456,67538	23
457,20792	41
457,74039	70
458,27289	-95
458,80533	-49
459,33777	-101
459,87021	-33
460,40262	2
460,935	-86
461,46738	-32
461,99969	180
462,53204	202
463,06436	-121
463,59665	1
464,12891	95
464,66116	25
465,19339	-56
465,72562	-44
466,25781	-104
466,78998	-7
467,32214	59
467,85428	51
468,38641	106
468,91852	0
469,45059	80
469,98267	92
470,51471	0
471,04672	-62
471,57874	-14
472,11072	62
472,6427	3
473,17465	36
473,70657	-31
474,23849	4
474,77039	15
475,30225	-86
475,83411	26
476,36594	-102
476,89777	-8
477,42957	16
477,96133	-42
478,4931	-48
479,02484	-90
479,55658	-57
480,08829	-194
480,61996	20
481,15164	115
481,68329	-86
482,2149	-42
482,74652	-113
483,27811	-53
483,80969	5
484,34122	6
484,87277	-12
485,40427	-1
485,93579	-80
486,46725	103
486,99872	-115
487,53015	23
488,06158	0
488,59299	-16
489,12436	-135
489,65573	133
490,18707	-1084
490,71838	16
491,24969	-123
491,78101	-41
492,31226	-5
492,84351	104
493,37476	18
493,90598	2
494,43716	64
494,96832	-5
495,49948	-57
496,03061	-232
496,56174	-27
497,09283	40
497,62393	30
498,155	-63
498,68604	-83
499,21704	-142
499,74805	56
500,27905	43
500,81	81
501,34097	-109
501,87189	34
502,4028	24
502,93369	-100
503,46457	12
503,99542	-88
504,52625	49
505,05707	-2
505,58786	70
506,11865	-90
506,64941	-53
507,18015	-163
507,71088	10
508,24158	77
508,77225	64
509,30292	-168
509,83356	66
510,3642	-54
510,89481	5
511,42538	-4
511,95596	-108
512,48651	-192
513,01703	10
513,54755	-80
514,07806	58
514,60852	-28
515,13898	-137
515,66943	-125
516,19983	-31
516,73022	-69
517,26062	-15
517,79095	46
518,32135	67
518,85162	55
519,38196	-28
519,91223	-97
520,4425	34
520,97278	130
521,50299	13
522,0332	-48
522,56342	9
523,09357	-27
523,62372	-22
524,15387	31
524,68396	-87
525,21405	-53
525,74414	-66
526,27423	61
526,80426	-14
527,33429	-92
527,86426	-38
528,39429	40
528,92426	-33
529,45416	-18
529,98413	71
530,51404	42
531,04388	28
531,57379	50
532,10364	124
532,63348	-107
533,16327	79
533,69305	137
534,22284	28
534,75262	-33
535,28235	167
535,81207	37
536,34174	-22
536,87146	111
537,40112	-24
537,93073	5
538,46039	-8
538,98999	37
539,51959	-94
540,04913	80
540,57867	-119
541,10822	46
541,6377	-18
542,16724	-116
542,69672	39
543,22614	-59
543,75555	109
544,28497	-2
544,81439	77
545,34375	128
545,87311	-20
546,40247	32
546,93182	-53
547,46112	56
547,99042	-142
548,51965	1
549,04889	16
549,57813	-38
550,10736	-213
550,63654	76
551,16571	-60
551,69482	-29
552,224	-46
552,75311	-81
553,28223	-49
553,81128	50
554,34033	-110
554,86938	50
555,39838	-53
555,92737	-111
556,45636	-112
556,98535	-33
557,51428	-59
558,04321	53
558,57214	65
559,10101	23
559,62988	-30
560,15869	-141
560,68756	103
561,21637	-36
561,74518	-61
562,27393	68
562,80267	5
563,33142	-18
563,86017	-30
564,38885	71
564,91754	-110
565,44617	117
565,97479	-85
566,50342	-38
567,03204	-19
567,56061	-72
568,08917	122
568,61774	1
569,1463	-33
569,6748	-66
570,20325	-134
570,73175	31
571,26019	-14
571,78864	-187
572,31708	-11
572,84546	66
573,37384	51
573,90216	-32
574,43054	-104
574,95886	-8
575,48712	-14
576,01544	-36
576,5437	-40
577,07196	-90
577,60016	-96
578,12836	-42
578,65656	-76
579,18475	-288
579,71289	-53
580,24103	22
580,7691	-71
581,29724	-12
581,82532	-53
582,35333	2
582,88141	88
583,40942	-165
583,93738	41
584,46539	-19
584,99335	-15
585,5213	-130
586,04919	26
586,57709	81
587,10498	7
587,63287	-178
588,16071	-199
588,68854	53
589,21637	-28
589,74414	14
590,27191	0
590,79968	10
591,32739	-66
591,8551	-64
592,38281	-48
592,91052	38
593,43817	-20
593,96582	50
594,49341	286
595,021	76
595,54858	4
596,07617	-137
596,6037	73
597,13123	80
597,65875	-97
598,18622	138
598,71368	89
599,24115	11
599,76855	51
600,29602	70
600,82336	-95
601,35077	17
601,87811	-73
602,40546	58
602,9328	79
603,46008	20
603,98737	-143
604,51465	-112
605,04187	-19
605,56909	27
606,09631	4
606,62347	14
607,15063	-22
607,6778	1
608,2049	-7
608,73206	-10
609,25916	79
609,78619	37
610,31323	111
610,84027	-17
611,36731	-26
611,89429	-46
612,42126	-118
612,94824	-46
613,47516	53
614,00208	29
614,52899	37
615,05591	121
615,58276	-103
616,10962	-84
616,63641	-18
617,16321	182
617,69	-38
618,2168	13
618,74353	93
619,27026	-22
619,797	174
620,32367	66
620,85034	-15
621,37701	-95
621,90369	8
622,4303	139
622,95685	55
623,48346	42
624,01001	-64
624,53656	73
625,06311	-29
625,5896	19
626,11609	15
626,64258	96
627,16901	57
627,69543	91
628,22186	89
628,74823	166
629,2746	125
629,80096	47
630,32727	100
630,85364	76
631,37988	86
631,90619	36
632,43243	58
632,95868	-43
633,48492	-103
634,01111	30
634,53729	-27
635,06348	0
635,5896	87
636,11572	84
636,64185	71
637,16791	-49
637,69403	126
638,22003	-106
638,74609	-45
639,27209	135
639,7981	-30
640,3241	28
640,85004	89
641,37598	52
641,90192	168
642,4278	45
642,95367	-2
643,47955	-19
644,00537	49
644,53119	16
645,05701	211
645,58282	97
646,10858	158
646,63434	208
647,16003	108
647,68573	207
648,21143	146
648,73712	256
649,26276	191
649,78839	261
650,31403	274
650,83966	196
651,36523	257
651,89075	261
652,41632	222
652,94183	242
653,46735	389
653,9928	307
654,51831	396
655,04376	330
655,56915	203
656,09454	299
656,61993	305
657,14532	453
657,67072	258
658,19604	419
658,72131	402
659,24664	490
659,77191	486
660,29718	500
660,82239	133
661,3476	617
661,8728	551
662,39801	562
662,92316	723
663,4483	847
663,97345	887
664,49854	1004
665,02362	1044
665,54871	1273
666,07373	1289
666,59875	1446
667,12378	1679
667,6488	1892
668,17377	2091
668,69873	2460
669,22363	2755
669,7486	3166
670,2735	3656
670,79834	4316
671,32324	5196
671,84808	6371
672,37286	7790
672,89771	9752
673,42249	11820
673,9472	14586
674,47198	17354
674,9967	20734
675,52142	24399
676,04608	28051
676,5708	31687
677,09546	35404
677,62006	39282
678,14471	43025
678,66925	46499
679,19385	49893
679,71844	54093
680,24298	58249
680,76746	62626
681,29199	67867
681,81647	74406
682,34094	82563
682,86536	92582
683,38977	105161
683,91418	120421
684,4386	138453
684,96295	157227
685,4873	177266
686,01166	197050
686,53595	218145
687,06024	237189
687,58453	245636
688,10876	246631
688,633	244991
689,15723	242181
689,68146	236018
690,20563	224869
690,7298	210925
691,25391	195837
691,77802	180059
692,30212	165668
692,82623	152763
693,35028	141111
693,87433	130470
694,39838	121215
694,92236	113684
695,44635	106755
695,97034	100783
696,49432	96170
697,01825	92358
697,54218	88682
698,06604	85204
698,5899	81424
699,11377	77717
699,63763	74389
700,16144	70639
700,68524	67663
701,20905	64326
701,73279	60453
702,25653	56737
702,78027	53331
703,30396	50199
703,82764	47031
704,35132	43830
704,875	41278
705,39862	38455
705,92224	35954
706,4458	33290
706,96942	31010
707,49298	28821
708,01648	26635
708,54004	24633
709,06354	22661
709,58698	21179
710,11047	19464
710,63391	17650
711,15735	16410
711,68073	14924
712,2041	13573
712,72748	12298
713,25085	11244
713,77417	10279
714,29749	9363
714,82074	8429
715,34406	7516
715,86731	6932
716,3905	6193
716,91376	5430
717,43695	4947
717,96008	4414
718,48328	4039
719,00641	3566
719,52954	3109
720,05261	2834
720,57574	2474
721,09882	2129
721,62183	1989
722,14484	1765
722,66785	1356
723,19086	1302
723,71381	1254
724,23676	1161
724,7597	904
725,28265	781
725,80554	821
726,32837	672
726,85126	499
727,37408	609
727,89691	487
728,41968	489
728,9425	383
729,46527	433
729,98798	335
730,51074	200
731,03345	173
731,55609	284
732,0788	254
732,60144	162
733,12408	281
733,64667	220
734,16925	74
734,69183	313
735,21442	146
735,73694	189
736,25946	366
736,78192	170
737,30444	65
737,8269	25
738,3493	156
738,87177	142
739,39417	62
739,9165	4
740,4389	36
740,96124	40
741,48358	20
742,00586	111
742,52814	129
743,05042	37
743,57269	170
744,09491	204
744,61713	-58
745,13934	25
745,6615	161
746,18365	98
746,70581	72
747,22791	44
747,75	54
748,27209	23
748,79419	69
749,31622	34
749,83826	-139
750,36023	189
750,8822	-30
751,40417	-44
751,92615	8
752,44806	109
752,96997	86
753,49188	-34
754,01373	26
754,53558	196
755,05743	42
755,57928	23
756,10107	30
756,62286	164
757,14459	-66
757,66632	87
758,18805	82
758,70978	-11
759,23145	-44
759,75311	4
760,27478	-88
760,79639	11
761,31799	-8
761,8396	29
762,36115	67
762,88269	65
763,40424	12
763,92578	27
764,44727	-96
764,96875	0
765,49017	11
766,01166	58
766,53308	-47
767,05444	72
767,57587	52
768,09723	24
768,61853	-41
769,13989	116
769,66119	205
770,1825	-40
770,70374	27
771,22498	56
771,74622	-69
772,26746	-101
772,78864	-5
773,30981	-26
773,83093	-26
774,35211	-66
774,87323	29
775,39429	-27
775,91541	91
776,43646	-64
776,95746	17
777,47852	186
777,99951	-38
778,52051	33
779,04144	-150
779,56244	-19
780,08331	116
780,60425	70
781,12512	-1
781,646	-111
782,16687	144
782,68768	25
783,2085	106
783,72931	-23
784,25006	-33
784,77087	-26
785,29156	-18
785,81232	-21
786,33301	24
786,8537	5
787,37433	-8
787,89502	13
788,41565	95
788,93622	-96
789,45685	0
789,97742	-16
790,49792	59
791,01849	-36
791,539	16
792,05945	-20
792,57996	-1
793,1004	-24
793,62085	170
794,14124	-77
794,66168	17
795,18207	-184
795,70239	105
796,22272	-45
796,74304	7
797,26337	44
797,78363	-16
798,30396	-22
798,82416	28
799,34442	-55
799,86462	30
800,38483	-2
800,90497	39
801,42511	-104
801,94525	-78
802,46539	170
802,98547	23
803,50555	-208
804,02563	57
804,54565	-139
805,06567	-13
805,58569	-44
806,10565	-166
806,62561	110
807,14557	-155
807,66553	105
808,18542	117
808,70532	-100
809,22516	-60
809,745	33
810,26483	62
810,78467	90
811,30444	46
811,82422	-53
812,34399	-36
812,86371	-126
813,38342	5
813,90314	29
814,42279	-64
814,9425	88
815,4621	5
815,98175	10
816,50134	-97
817,02094	-24
817,54053	25
818,06006	-10
818,57959	47
819,09912	82
819,61859	-25
820,13806	-68
820,65753	-95
821,17694	-166
821,69635	43
822,21576	1
822,73517	35
823,25452	-119
823,77386	153
824,29315	-38
824,81244	-46
825,33173	349
825,85101	-72
826,37024	-72
826,88947	2
827,40869	-101
827,92786	-32
828,44708	-22
828,96619	103
829,48535	-25
830,00446	80
830,52356	-44
831,0426	-1047
831,56171	16
832,08069	-5
832,59973	-76
833,11871	-67
833,6377	-13
834,15668	91
834,6756	-94
835,19452	-35
835,71344	4
836,23236	-50
836,75122	48
837,27008	98
837,78888	89
838,30768	20
838,82648	-72
839,34528	12
839,86401	-32
840,38275	3
840,90149	12
841,42017	37
841,93884	164
842,45752	-30
842,97614	24
843,49475	162
844,01337	13
844,53198	-51
845,05054	-73
845,56909	36
846,08759	-135
846,60608	31
847,12457	68
847,64307	-138
848,1615	-98
848,67993	-56
849,19836	-84
849,71674	-1
850,23511	16
850,75348	-2
851,27185	-16
851,79016	-12
852,30847	-17
852,82672	-85
853,34497	20
853,86322	-63
854,38147	-79
854,89966	39
855,41785	48
855,93604	62
856,45416	-52
856,97229	11
857,49042	72
858,00848	-12
858,52661	-78
859,04462	-34
859,56268	75
860,08069	-147
860,59869	-70
861,11664	-147
861,63464	9
862,15259	-53
862,67047	4
863,18842	-61
863,7063	-63
864,22412	-41
864,742	-78
865,25983	-3
865,77765	-19
866,29541	21
866,81317	-22
867,33093	-116
867,84869	-75
868,36639	-78
868,88409	50
869,40179	-181
869,91943	39
870,43707	42
870,95471	-84
871,47229	22
871,98987	-51
872,50745	-2
873,02496	-44
873,54248	1
874,06	-59
874,57751	-86
875,09497	-80
875,61243	-41
876,12982	-19
876,64728	-88
877,16467	-114
877,68201	-52
878,1994	-146
878,71674	-5
879,23401	-43
879,75134	-106
880,26862	93
880,78589	-109
881,3031	-56
881,82031	-57
882,33752	-17
882,85474	160
883,37189	-10
883,88904	-23
884,40619	-15
884,92328	4
885,44037	8
885,95746	24
886,47449	-1
886,99152	-9
887,50854	-114
888,02551	100
888,54254	54
889,05945	-110
889,57642	-117
890,09332	101
890,61023	-72
891,12714	-79
891,64398	30
892,16083	-85
892,67767	-90
893,19446	121
893,71124	18
894,22803	-58
894,74475	53
895,26147	-65
895,7782	-126
896,29492	1
896,81158	14
897,32825	-29
897,84485	-16
898,36151	4
898,87811	9
899,39465	-17
899,91125	-116
900,4278	42
900,94427	48
901,46082	-13
901,97729	84
902,49377	-6
903,01019	-44
903,52661	22
904,04303	32
904,55945	-9
905,07581	55
905,59216	-3
906,10852	-30
906,62482	-30
907,14111	65
907,65741	-105
908,17365	-50
908,68988	-102
909,20612	-127
909,72229	13
910,23846	-49
910,75464	-47
911,27081	-134
911,78693	-32
912,30304	-71
912,81909	-5
913,33521	62
913,85126	7
914,36725	53
914,8833	112
915,39929	-20
915,91528	16
916,43121	98
916,94714	-61
917,46307	-47
917,97894	-33
918,49487	78
919,01068	-6
919,52655	82
920,04236	-40
920,55817	113
921,07397	53
921,58972	-44
922,10547	-81
922,62122	61
923,1369	-70
923,65259	-109
924,16827	-156
924,68396	94
925,19958	34
925,71521	-135
926,23077	-90
926,74634	155
927,2619	-86
927,77747	-8
928,29297	-68
928,80847	-46
929,32397	-36
929,83942	-53
930,35486	12
930,8703	38
931,38574	4
931,90112	-3
932,4165	19
932,93182	-41
933,44714	-111
933,96246	-67
934,47778	-33
934,99304	-98
935,5083	-35
936,02356	17
936,53876	-10
937,05396	-36
937,56915	-45
938,08429	-15
938,59943	-18
939,11456	-9
939,6297	41
940,14478	-22
940,65985	-63
941,17487	-26
941,68988	10
942,2049	-77
942,71991	-78
943,23486	-24
943,74982	-39
944,26477	-39
944,77966	-68
945,29462	38
945,80945	-15
946,32434	-154
946,83917	-79
947,354	-80
947,86877	2
948,38361	8
948,89832	-36
949,41309	-32
949,9278	-47
950,4425	23
950,95721	-5
951,47186	-78
951,98651	32
952,50116	-130
953,01581	31
953,5304	67
954,04498	46
954,55951	81
955,07404	36
955,58856	-156
956,10309	-32
956,61755	-109
957,13202	-14
957,64648	-80
958,16089	49
958,67529	87
959,1897	7
959,70404	-113
960,21838	85
960,73273	-171
961,24701	-20
961,76135	-41
962,27563	133
962,78986	-140
963,30408	0
963,8183	21
964,33252	-134
964,84668	49
965,36084	-77
965,875	-27
966,3891	0
966,9032	44
967,4173	-76
967,9314	-57
968,44543	-21
968,95947	36
969,47345	-79
969,98743	-60
970,5014	1
971,01538	17
971,5293	-123
972,04321	24
972,55713	51
973,07098	-183
973,58484	44
974,09869	-4
974,61249	-19
975,12628	-31
975,64008	-51
976,15387	0
976,6676	-55
977,18134	-71
977,69501	-56
978,20874	-160
978,72241	-125
979,23602	36
979,74969	28
980,26331	75
980,77686	75
981,29047	-22
981,80402	132
982,31757	-76
982,83105	12
983,34454	-20
983,85803	-21
984,37152	-12
984,88495	-50
985,39838	76
985,91174	-44
986,42517	153
986,93854	-130
987,45184	51
987,96521	-118
988,47852	74
988,99176	125
989,50507	-11
990,01831	36
990,53156	-78
991,04474	-35
991,55798	-44
992,07111	178
992,58429	-29
993,09741	45
993,61053	-93
994,12366	-4
994,63672	74
995,14978	21
995,66284	-41
996,17584	149
996,6889	16
997,20184	-53
997,71484	-157
998,22778	48
998,74072	57
999,2536	-79
999,76654	-112
1000,2794	-34
1000,7922	-135
1001,3051	34
1001,8179	-84
1002,3307	55
1002,8435	54
1003,3563	63
1003,869	4
1004,3817	46
1004,8944	14
1005,4071	-138
1005,9198	167
1006,4324	-42
1006,9451	33
1007,4576	-167
1007,9703	2
1008,4828	-22
1008,9954	18
1009,5079	10
1010,0204	-74
1010,5329	-48
1011,0454	-66
1011,5579	4
1012,0703	-205
1012,5827	-70
1013,0952	-25
1013,6075	-106
1014,1199	-73
1014,6322	19
1015,1445	-4
1015,6569	-39
1016,1691	22
1016,6814	3
1017,1937	-5
1017,7059	46
1018,2181	-43
1018,7303	79
1019,2425	-22
1019,7546	-43
1020,2668	-39
1020,7789	72
1021,291	25
1021,803	114
1022,3151	89
1022,8271	2
1023,3392	-70
1023,8512	-62
1024,3632	25
1024,8751	-11
1025,3871	-12
1025,899	89
1026,4109	-101
1026,9229	-251
1027,4347	15
1027,9465	0
1028,4584	26
1028,9702	-24
1029,4821	-89
1029,9938	79
1030,5055	-32
1031,0173	-73
1031,5291	79
1032,0406	40
1032,5524	-112
1033,0641	62
1033,5757	77
1034,0873	-77
1034,599	-128
1035,1105	60
1035,6221	-46
1036,1337	108
1036,6451	40
1037,1567	18
1037,6682	-20
1038,1797	-64
1038,6912	20
1039,2025	-50
1039,714	-2
1040,2253	58
1040,7368	-4
1041,2482	84
1041,7595	29
1042,2708	65
1042,7821	-14
1043,2933	22
1043,8047	81
1044,3159	6
1044,8271	-34
1045,3384	66
1045,8495	-7
1046,3607	24
1046,8718	25
1047,3831	5
1047,8942	-95
1048,4052	38
1048,9163	42
1049,4274	4
1049,9384	-29
1050,4495	61
1050,9604	21
1051,4714	44
1051,9824	120
1052,4933	68
1053,0043	14
1053,5151	-25
1054,026	-156
1054,5369	91
1055,0477	-32
1055,5586	-65
1056,0695	71
1056,5802	283
1057,0909	-158
1057,6017	-44
1058,1124	50
1058,6232	91
1059,1339	-136
1059,6445	-28
1060,1553	-53
1060,6659	63
1061,1765	-29
1061,6871	-77
1062,1978	-80
1062,7083	83
1063,2189	-54
1063,7294	-28
1064,2399	42
1064,7504	-72
1065,2609	13
1065,7712	71
1066,2817	106
1066,7921	79
1067,3025	146
1067,8129	-5
1068,3232	-119
1068,8336	-12
1069,344	149
1069,8542	13
1070,3645	61
1070,8748	-66
1071,385	39
1071,8953	-41
1072,4055	-82
1072,9156	159
1073,4258	-63
1073,936	-49
1074,4462	77
1074,9562	-25
1075,4663	-13
1075,9764	71
1076,4865	-101
1076,9965	-57
1077,5065	82
1078,0165	-59
1078,5265	-31
1079,0365	-65
1079,5464	-50
1080,0564	-113
1080,5663	1
1081,0762	-65
1081,5861	-26
1082,0958	-52
1082,6057	65
1083,1155	18
1083,6252	-74
1084,135	65
1084,6448	91
1085,1545	-26
1085,6643	-96
1086,174	-63
1086,6836	-32
1087,1934	-49
1087,703	-61
1088,2125	73
1088,7222	54
1089,2318	62
1089,7413	61
1090,2509	-212
1090,7604	-25
1091,2699	-5
1091,7794	-37
1092,2888	40
1092,7983	-19
1093,3077	-54
1093,8171	-49
1094,3265	5
1094,8359	24
1095,3453	-98
1095,8546	40
1096,364	23
1096,8733	-65
1097,3826	21
1097,8918	-71
1098,4011	31
1098,9103	-27
1099,4196	84
1099,9287	59
1100,4379	-62
