Date and Time:                Fri Mar 21 12:21:07.842 2025
Software Version:             4.32.30137.0
Unstabilized Temperature (C): 22,646
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         1
Accumulate Cycle Time (secs): 1
Frequency (Hz):               1
Number of Accumulations:      10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
886,47638	240
887,00836	209
887,54041	114
888,07239	119
888,60449	132
889,1366	155
889,6687	131
890,20081	110
890,73297	150
891,2652	165
891,79742	129
892,32965	278
892,86188	219
893,39417	85
893,92651	215
894,4588	214
894,99121	157
895,52356	191
896,05597	157
896,58838	130
897,12085	160
897,65332	-31
898,18585	43
898,71838	141
899,25092	140
899,78351	123
900,3161	140
900,84875	-9
901,38141	94
901,91406	70
902,44678	-2
902,97949	138
903,51221	109
904,04498	84
904,57782	173
905,1106	101
905,64349	166
906,17633	63
906,70923	174
907,24213	164
907,77509	112
908,30804	232
908,84106	27
909,37408	106
909,9071	244
910,44019	282
910,97327	150
911,50641	268
912,03949	194
912,57269	136
913,1059	76
913,6391	156
914,1723	144
914,70557	129
915,23883	112
915,77216	50
916,30548	138
916,83887	243
917,37225	125
917,90564	166
918,43909	28
918,97253	168
919,50598	64
920,03949	119
920,57306	142
921,10657	61
921,64014	65
922,17377	94
922,7074	173
923,24103	157
923,77472	14
924,30841	161
924,84216	217
925,37585	67
925,90967	83
926,44342	197
926,97729	132
927,51111	93
928,04498	149
928,57886	-11
929,11279	86
929,64673	149
930,18073	16
930,71466	113
931,24872	96
931,78271	175
932,31683	186
932,85089	254
933,38501	91
933,91913	97
934,45331	137
934,98749	111
935,52167	-4
936,05591	82
936,59021	214
937,12445	123
937,65875	12
938,19312	87
938,72748	65
939,26184	59
939,79626	129
940,33069	93
940,86511	247
941,3996	92
941,93408	59
942,46863	108
943,00317	159
943,53778	114
944,07239	122
944,60699	164
945,1416	192
945,67633	99
