Date and Time:                Fri Mar 21 14:11:33.414 2025
Software Version:             4.32.30137.0
Unstabilized Temperature (C): 22,646
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         1
Accumulate Cycle Time (secs): 1
Frequency (Hz):               1
Number of Accumulations:      10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
498,4501	-97
498,96402	-91
499,47797	35
499,99194	-49
500,50595	-293
501,01996	84
501,534	-23
502,04807	-70
502,56216	62
503,07629	-102
503,59042	-224
504,10461	-98
504,6188	11
505,133	-172
505,64725	-151
506,1615	-146
506,67581	-49
507,19012	486
507,70447	-33
508,21881	15
508,73322	-107
509,24762	-95
509,76205	-14
510,27652	-135
510,79099	-112
511,30551	-65
511,82004	-88
512,33459	-69
512,84918	3
513,36377	-137
513,87842	-160
514,39307	28
514,90771	-98
515,42242	-94
515,93719	-177
516,4519	-238
516,96667	-37
517,48151	-135
517,99634	-150
518,51117	-132
519,02606	4
519,54095	-128
520,05585	-179
520,5708	98
521,08582	-132
521,60077	-9
522,11578	-127
522,63086	-103
523,14594	-126
523,66101	-163
524,17615	-171
524,69128	-107
525,20642	-80
525,72162	-86
526,23682	-154
526,75208	-41
527,26733	-118
527,78265	-153
528,29791	-121
528,81329	-53
529,32861	16
529,84399	-23
530,35944	-57
530,87488	-101
531,39032	49
531,90582	-58
532,42133	-186
532,93683	-225
533,45239	-26
533,96796	-118
534,48358	37
534,99921	-42
535,51489	-74
536,03052	-106
536,54626	-182
537,06195	-101
537,5777	-130
538,09351	-56
538,60931	-114
539,12512	45
539,64099	-120
540,15686	-56
540,67273	-5
541,18866	-129
541,70459	-19
542,22058	-103
542,73657	-83
543,25256	-17
543,76862	-28
544,28467	-69
544,80078	-133
545,31689	44
545,83301	-139
546,34918	-115
546,86536	68
547,38159	-58
547,89783	-54
548,41412	-60
548,93036	-3
549,44672	-110
549,96301	-46
550,47937	-121
550,99579	30
551,51221	-68
552,02863	-88
552,54504	-113
553,06152	-23
553,57806	-40
554,0946	-111
554,61115	57
555,12775	-132
555,64435	28
556,16095	6
556,67761	24
557,19427	-139
557,711	-51
558,22772	-117
558,74445	-88
559,26123	-232
559,77802	45
560,29486	-72
560,81171	-213
561,32855	-73
561,84546	-131
562,36237	-88
562,87933	20
563,3963	-104
563,91327	-8
564,4303	-20
564,94733	-70
565,46442	24
565,98151	-108
566,4986	-37
567,01575	-99
567,5329	-44
568,05011	-48
568,56732	-45
569,08453	-77
569,60181	55
570,11908	-188
570,63641	4
571,15375	43
571,67108	-53
572,18848	-112
572,70587	-142
573,22333	5
573,74078	71
574,25824	-35
574,77576	-159
575,29327	-34
575,81079	-17
576,32837	-20
576,84601	-75
577,36365	-156
577,88129	-42
578,39893	-59
578,91663	52
579,43439	-73
579,95209	-116
580,46991	-82
580,98767	6
581,50549	-186
582,02332	-79
582,5412	46
583,05908	-77
583,57703	-20
584,09497	-94
584,61292	-235
585,13092	-134
585,64893	-89
586,16699	-101
586,68506	-157
587,20313	6
587,72125	-20
588,23938	-58
588,75757	-207
589,27576	61
589,79395	-29
590,31219	9
590,83044	102
591,34869	9
591,867	-112
592,38538	10
592,90369	-111
593,42206	-102
593,94049	-40
594,45892	-181
594,97736	-50
595,49585	-156
596,01434	113
596,5329	-66
597,05145	-31
597,57001	-21
598,08862	-78
598,60724	5
599,12585	-101
599,64453	30
600,16327	20
600,68195	-76
601,20074	-12
601,71948	-62
602,23828	-6
602,75708	-40
603,27594	-69
603,7948	-163
604,31372	-113
604,83264	-66
605,35156	-14
605,87054	-47
606,38953	-20
606,90851	-11
607,42755	-57
607,94666	52
608,4657	-43
608,9848	85
609,50397	53
610,02313	-187
610,5423	-51
611,06152	71
611,58075	53
612,09998	54
612,61926	-15
613,13861	-22
613,6579	13
614,17725	-2
614,69666	-136
615,21606	-50
615,73547	-1
616,25494	-85
616,77441	-38
617,29388	0
617,81342	32
618,33301	-15
618,85254	-74
619,37213	-107
619,89178	-34
620,41144	30
620,93109	-14
621,45081	122
621,97052	-126
622,49023	-11
623,01001	13
623,52985	-88
624,04962	-72
624,56946	-9
