Date and Time:                Fri Mar 21 10:34:36.524 2025
Software Version:             4.32.30137.0
Unstabilized Temperature (C): 22,646
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         1
Accumulate Cycle Time (secs): 1
Frequency (Hz):               1
Number of Accumulations:      10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
578,91663	-194
579,43439	-15
579,95209	19
580,46991	41
580,98767	36
581,50549	-53
582,02332	-26
582,5412	-38
583,05908	-44
583,57703	-156
584,09497	51
584,61292	-68
585,13092	-47
585,64893	77
586,16699	12
586,68506	87
587,20313	42
587,72125	85
588,23938	157
588,75757	-27
589,27576	-22
589,79395	35
590,31219	-70
590,83044	-37
591,34869	-14
591,867	29
592,38538	62
592,90369	-78
593,42206	-1
593,94049	-55
594,45892	43
594,97736	13
595,49585	-66
596,01434	27
596,5329	-93
597,05145	-2
597,57001	105
598,08862	-72
598,60724	-186
599,12585	55
599,64453	-54
600,16327	17
600,68195	40
601,20074	77
601,71948	40
602,23828	-62
602,75708	-37
603,27594	65
603,7948	127
604,31372	-10
604,83264	52
605,35156	-135
605,87054	-103
606,38953	-44
606,90851	43
607,42755	35
607,94666	-16
608,4657	67
608,9848	24
609,50397	-100
610,02313	-75
610,5423	-82
611,06152	104
611,58075	32
612,09998	-112
612,61926	-93
613,13861	0
613,6579	75
614,17725	-56
614,69666	203
615,21606	32
615,73547	41
616,25494	-22
616,77441	-119
617,29388	-20
617,81342	-129
618,33301	-143
618,85254	-10
619,37213	59
619,89178	21
620,41144	-76
620,93109	44
621,45081	-56
621,97052	133
622,49023	106
623,01001	-82
623,52985	-34
624,04962	-40
624,56946	-41
625,08936	116
625,60925	-11
626,12915	-33
626,64911	-83
627,16907	69
627,68903	49
628,20905	-71
628,72906	-142
629,24915	80
629,76923	-35
630,28937	-61
630,80945	-113
631,32965	-61
631,84979	-64
632,37	-125
632,89026	57
633,41052	3
633,93079	98
634,45111	108
634,97144	-63
635,49176	-96
636,01215	178
636,53253	-202
637,05298	73
637,57343	-56
638,09387	-58
638,61438	-60
639,13495	22
639,65546	-92
640,17603	-154
640,69666	-47
641,21729	34
641,73792	-93
642,25861	103
642,7793	102
643,29999	110
643,82074	18
644,34149	49
644,8623	20
645,38312	-131
645,90393	125
646,4248	-9
646,94568	22
647,46661	113
647,98755	-58
648,50848	-55
649,02948	-2
649,55048	-168
650,07153	98
650,59259	-11
651,11371	48
651,63477	228
652,15594	-2
652,67706	167
653,19824	29
653,71948	69
654,24072	-65
654,76196	29
655,2832	60
655,8045	159
656,32587	46
656,84723	57
657,36859	21
657,89001	-53
658,41144	12
658,93286	-84
659,45435	47
659,97583	46
660,49738	78
661,01892	-60
661,54047	-12
662,06207	122
662,58368	0
663,10535	137
663,62701	27
664,14868	25
664,67041	161
665,19214	58
665,71393	35
666,23572	9
666,75751	0
667,27936	-43
667,80121	84
668,32312	-51
668,84503	338
669,36694	105
669,88892	202
670,41089	94
670,93292	34
671,45496	145
671,97699	124
672,49908	41
673,02118	44
673,54333	262
674,06549	93
674,58765	107
675,10986	142
675,63208	72
676,15436	257
676,67664	107
677,19891	87
677,72125	118
678,24359	250
678,76593	48
679,28833	195
679,81079	74
680,33325	289
680,85571	178
681,37817	117
681,9007	117
682,42328	214
682,9458	180
683,46844	252
683,99103	301
684,51367	284
685,03632	90
685,55902	309
686,08173	258
686,60449	231
687,12726	-509
687,65002	332
688,17285	327
688,69568	330
689,21857	330
689,74146	222
690,26434	488
690,78729	399
691,31024	344
691,83325	504
692,35626	550
692,87927	558
693,40234	582
693,92542	667
694,44849	610
694,97162	658
695,49481	755
696,01794	759
696,54114	962
697,06439	971
697,58765	1167
698,1109	1141
698,63422	1262
699,15753	1664
699,68091	2337
700,20428	3593
700,72766	4949
701,2511	6618
701,77454	8193
702,29797	9456
702,82147	10467
703,34503	11326
703,86853	11996
704,39215	12402
704,91571	13033
705,43933	13424
705,96295	13363
706,48663	13223
707,01031	13135
707,53406	12809
708,0578	12863
708,58154	12434
709,10535	12147
709,62915	11459
710,15295	10496
710,67682	9274
711,20074	7558
711,72461	6194
712,24854	4838
712,77252	3827
713,29651	3040
713,8205	2321
714,34454	1915
714,86859	1463
715,39264	1383
715,91675	1205
