Date and Time:                Mon Mar 17 14:59:39.813 2025
Software Version:             4.32.30137.0
Unstabilized Temperature (C): 21,997
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         1
Accumulate Cycle Time (secs): 1
Frequency (Hz):               1
Number of Accumulations:      10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
709,62915	17555
710,15295	17066
710,67682	16711
711,20068	15865
711,72461	15297
712,24854	14564
712,77252	13795
713,29651	13047
713,8205	12339
714,34454	11767
714,86859	11081
715,39264	10351
715,91675	9870
716,44086	9173
716,96503	8585
717,4892	7983
718,01343	7548
718,53766	6817
719,06189	6410
719,58618	5981
720,11047	5516
720,63477	5062
721,15912	4569
721,68347	4142
722,20789	3703
722,7323	3560
723,25677	3110
723,78125	2753
724,30573	2460
724,83026	2172
725,3548	2045
725,87933	1711
726,40393	1566
726,92853	1389
727,45319	1221
727,97784	1164
728,50256	994
729,02722	841
729,552	832
730,07672	859
730,6015	921
731,12634	713
731,65118	619
732,17603	569
732,70093	401
733,22583	675
733,75073	380
734,2757	654
734,80066	506
735,32568	464
735,85071	355
736,37579	574
736,90088	543
737,42596	405
737,95105	352
738,47626	269
739,0014	350
739,52661	305
740,05182	278
740,57709	471
741,10236	397
741,62762	389
742,15295	215
742,67828	291
743,20367	433
743,72906	295
744,25452	273
744,77991	277
745,30542	284
745,83087	1185
746,35638	371
746,88196	288
747,40753	220
747,93311	316
748,45874	352
748,98438	246
749,51001	238
750,03571	165
750,5614	190
751,08716	248
751,61292	159
752,13867	145
752,66449	251
