Date and Time:                Tue Mar 18 15:21:43.510 2025
Software Version:             4.32.30137.0
Unstabilized Temperature (C): 21,997
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         1
Accumulate Cycle Time (secs): 1
Frequency (Hz):               1
Number of Accumulations:      10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
648,50848	119
649,02948	137
649,55048	211
650,07153	233
650,59259	76
651,11371	112
651,63477	76
652,15594	103
652,67706	150
653,19824	234
653,71948	143
654,24072	-2
654,76196	90
655,2832	61
655,8045	183
656,32587	188
656,84723	184
657,36859	24
657,89001	206
658,41144	129
658,93286	97
659,45435	133
659,97583	111
660,49738	122
661,01892	200
661,54047	99
662,06207	160
662,58368	104
663,10535	181
663,62701	84
664,14868	254
664,67041	38
665,19214	165
665,71393	66
666,23572	162
666,75751	223
667,27936	207
667,80121	150
668,32312	201
668,84503	135
669,36694	187
669,88892	171
670,41089	225
670,93292	320
671,45496	221
671,97699	262
672,49908	232
673,02118	157
673,54333	157
674,06549	147
674,58765	135
675,10986	239
675,63208	265
676,15436	221
676,67664	334
677,19891	252
677,72125	217
678,24359	168
678,76593	403
679,28833	398
679,81079	268
680,33325	344
680,85571	308
681,37817	255
681,9007	334
682,42328	423
682,9458	328
683,46844	278
683,99103	309
684,51367	501
685,03632	419
685,55902	429
686,08173	413
686,60449	482
687,12726	518
687,65002	506
688,17285	596
688,69568	562
689,21857	518
689,74146	630
690,26434	500
690,78729	616
691,31024	668
691,83325	588
692,35626	708
692,87927	722
693,40234	710
693,92542	764
694,44849	885
694,97162	805
695,49481	782
696,01794	854
696,54114	923
697,06439	873
697,58765	999
698,1109	1086
698,63422	1175
699,15753	1025
699,68091	1161
700,20428	1223
700,72766	1211
701,2511	1174
701,77454	1272
702,29797	1404
702,82147	1207
703,34503	1361
703,86853	1364
704,39215	1419
704,91571	1409
705,43933	1214
705,96295	1385
706,48663	1370
707,01031	1385
707,53406	1314
708,0578	1274
708,58154	1204
709,10535	1333
709,62915	1260
710,15295	1245
710,67682	1197
711,20074	1273
711,72461	1014
712,24854	1082
712,77252	999
713,29651	1017
713,8205	967
714,34454	944
714,86859	987
715,39264	736
715,91675	846
716,44092	692
716,96503	836
717,4892	655
718,01343	643
718,53766	692
719,06189	634
719,58618	615
720,11047	571
720,63477	444
721,15912	429
721,68353	410
722,20789	490
722,7323	334
723,25677	305
723,78125	356
724,30573	377
724,83026	318
725,3548	247
725,87933	271
726,40393	199
726,92859	242
727,45319	165
727,97784	165
728,50256	229
729,02728	-5
729,552	56
730,07678	152
730,60156	-667
731,12634	195
731,65118	108
732,17603	191
732,70093	65
733,22583	144
733,75079	31
734,2757	27
734,80072	158
735,32568	-31
735,85071	67
736,37579	-16
736,90088	-11
737,42596	154
737,95111	95
738,47626	94
739,0014	-30
739,52661	61
740,05182	-27
740,57709	85
741,10236	148
741,62769	107
742,15295	137
742,67834	66
743,20367	105
743,72906	29
744,25452	22
744,77997	64
745,30542	97
745,83093	-86
746,35645	-79
746,88196	73
747,40753	68
747,93311	76
748,45874	-76
748,98438	60
749,51001	172
750,03571	134
750,5614	138
751,08716	138
751,61292	158
752,13867	238
752,66449	144
753,19037	-8
753,71619	23
754,24207	143
754,76801	177
755,29388	162
755,81989	168
756,34583	47
756,87183	92
757,39789	34
757,92395	192
758,45001	68
758,97607	53
759,5022	42
760,02838	-34
760,55457	27
761,08075	-15
761,60699	32
762,13324	246
762,65948	15
763,18579	96
763,7121	120
764,23846	131
764,76483	52
765,2912	19
765,81763	-73
766,34406	20
766,87054	106
767,39703	53
767,92352	-129
768,45007	71
768,97662	84
769,50323	170
770,02985	-44
770,55646	47
771,08313	79
771,6098	66
772,13654	42
772,66327	-34
773,19	198
773,7168	85
774,24359	-28
774,77045	78
775,2973	0
775,82416	22
776,35107	150
776,87799	141
777,40497	44
777,93195	40
778,45892	124
778,98596	-80
779,513	134
780,0401	36
780,5672	114
781,0943	135
781,62146	-45
782,14862	41
782,67578	48
783,203	77
783,73029	174
784,25757	62
784,78485	-16
785,31213	-23
785,83948	47
786,36688	-48
786,89423	68
787,42169	75
787,9491	62
788,47656	105
789,00409	40
789,53156	36
790,05908	115
790,58667	5
791,11426	-42
791,64185	50
792,16949	49
792,69714	53
793,22485	99
793,75256	52
794,28027	155
794,80804	17
795,33582	90
795,86365	42
796,39148	-26
796,91931	103
797,4472	16
797,9751	143
798,50299	19
799,03094	151
799,55896	-33
800,08691	13
800,61499	-2
801,14301	42
801,67108	-82
802,19916	-25
802,72729	-26
803,25543	59
803,78363	-60
804,31183	30
804,84003	23
805,36829	42
805,89655	-113
806,4248	57
806,95313	34
807,48151	74
808,00983	99
808,53827	-129
809,06665	-109
809,59509	72
810,12354	-76
810,65204	87
811,18054	149
811,70911	149
812,23767	-83
812,76624	-7
813,29486	21
813,82349	-82
814,35211	91
814,8808	-10
815,40955	-68
815,93823	81
816,46698	86
816,99579	13
817,5246	66
818,05341	-39
818,58228	5
819,11115	-24
819,64001	89
820,16895	127
820,69794	78
821,22687	-22
821,75586	-55
