Date and Time:                Thu Mar 13 15:15:21.841 2025
Software Version:             4.32.30137.0
Unstabilized Temperature (C): 21,997
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         1
Accumulate Cycle Time (secs): 1
Frequency (Hz):               1
Number of Accumulations:      10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
559,26123	-115
559,77802	-228
560,29486	-237
560,81171	-128
561,32855	-6
561,84546	-208
562,36237	-157
562,87933	-18
563,3963	-188
563,91327	-183
564,4303	-304
564,94733	-170
565,46442	-25
565,98151	43
566,4986	-168
567,01575	-234
567,5329	-168
568,05011	-250
568,56732	-73
569,08453	-111
569,60181	-53
570,11908	-112
570,63641	-44
571,15369	-22
571,67108	-54
572,18848	27
572,70587	-291
573,22327	-156
573,74072	-201
574,25824	-158
574,77576	-33
575,29327	-334
575,81079	-117
576,32837	-21
576,84601	-125
577,36359	-176
577,88129	-86
578,39893	-79
578,91663	-119
579,43439	-126
579,95209	-140
580,46985	-166
580,98767	-132
581,50549	38
582,02332	-80
582,5412	-147
583,05908	-121
583,57703	-41
584,09497	-185
584,61292	-276
585,13092	-269
585,64893	-161
586,16699	-177
586,68506	-88
587,20313	-104
587,72125	-188
588,23938	-89
588,75751	-136
589,2757	5
589,79395	-117
590,31219	-176
590,83044	-186
591,34869	-199
591,867	-213
592,38531	-73
592,90369	-183
593,42206	68
593,94049	-70
594,45892	-224
594,97736	-132
595,49585	-145
596,01434	-139
596,5329	-38
597,05145	-108
597,57001	-127
598,08862	-47
598,60724	-98
599,12585	-128
599,64453	-55
600,16327	-159
600,68195	-167
601,20068	-227
601,71948	-25
602,23828	-81
602,75708	-96
603,27594	-199
603,7948	-135
604,31372	-190
604,83258	-106
605,35156	-260
605,87054	-210
606,38953	-221
606,90851	21
607,42755	-115
607,94659	-144
608,4657	-221
608,9848	-133
609,50397	-242
610,02313	-211
610,5423	-224
611,06152	-156
611,58075	-22
612,09998	-108
612,61926	-195
613,13855	-98
613,6579	-105
614,17725	-159
